id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.287187,3013110545,52,3013110545,232266718.0,0.295211,0.282956,0.00077178,0.26946,3752787.0,0.1247,10496230792.90537,10496230792.90537,,1.29,-77.70431,2024-03-13T18:55:06.692Z,0.153392,87.14839,2025-04-07T07:06:08.017Z,,2025-09-03T15:07:01.930Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,4.37,3004983239,53,5126166857,358028077.0,4.38,4.24,0.061107,1.41832,42500022.0,1.43461,687739306.6352899,1173206682.607498,,19.92,-78.06681,2023-01-26T14:25:17.390Z,3.08,41.86587,2022-12-29T21:35:14.796Z,,2025-09-03T15:07:00.746Z
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,1.001,2802002399,54,2802002399,373407340.0,1.002,0.997789,0.00173517,0.17364,-820091.7111725807,-0.02926,2799525612.078725,2799525612.078725,,1.052,-5.04514,2025-01-23T22:34:53.341Z,0.975737,2.38015,2025-02-28T01:35:58.101Z,,2025-09-03T15:06:49.717Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.350509,2794213442,55,4298789911,28281981.0,0.350178,0.341817,0.00766933,2.237,43145514.0,1.56832,7990759400.839312,12293476001.29125,100000000000.0,2.99,-88.31554,2025-02-26T16:41:03.732Z,0.33123,5.39094,2025-08-26T00:57:49.575Z,,2025-09-03T15:07:01.524Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.515049,2736304162,56,5166952050,319115665.0,0.516698,0.484372,0.02363121,4.80878,123155898.0,4.71293,5295780056.0,10000000000.0,10000000000.0,2.39,-78.40236,2024-01-12T12:29:59.231Z,0.245747,110.07159,2025-04-07T07:01:34.124Z,,2025-09-03T15:07:00.636Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,4461.62,2699372241,57,2699372241,75604297.0,4482.18,4268.1,111.87,2.57192,72727144.0,2.76882,604999.9999588211,604999.9999588211,,4955.78,-9.56525,2025-08-24T19:14:00.505Z,1394.32,221.42931,2025-04-09T01:32:41.942Z,,2025-09-03T15:06:55.591Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999621,2647741139,58,2647741139,374747836.0,1.0,0.998893,0.00061257,0.06132,780851.0,0.0295,2648527426.699986,2648527426.699986,,1.025,-2.42917,2025-05-12T12:36:39.412Z,0.989703,1.03345,2025-04-16T00:36:15.580Z,,2025-09-03T15:06:49.596Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.9,2635816190,59,2635816190,47125556.0,4.91,4.76,0.068105,1.40831,36046824.0,1.38654,537442293.2736961,537442293.2736961,,700.65,-99.30001,2021-05-10T16:05:53.653Z,2.87,71.18497,2023-09-22T00:29:57.369Z,,2025-09-03T15:06:56.464Z
story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,8.06,2444291521,60,8130335283,113476728.0,8.18,7.6,0.410383,5.36618,117573466.0,5.05319,304475278.16,1012762778.16,,8.64,-6.32195,2025-08-30T16:01:56.185Z,1.0,709.20697,2025-02-14T03:11:08.309Z,,2025-09-03T15:06:48.287Z
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,227.57,2386935769,61,2386935769,5789056.0,227.55,214.14,8.84,4.04189,45231511.0,1.93156,10488849.04119053,10488849.04119053,,297.96,-23.64923,2025-01-19T11:30:53.744Z,100.21,127.01385,2025-04-07T06:56:20.488Z,,2025-09-03T15:06:55.384Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2348844345,62,2348844345,0.0,1.0,1.0,0.0,0.0,-48652780.36000013,-2.02932,2348844345.223854,2348844345.223854,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-09-03T15:05:06.288Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.08514,2244350275,63,2269161703,29846029.0,0.085141,0.082876,0.00091204,1.08282,22949101.0,1.03309,26363807936.34678,26655261428.06931,28704026601.0,0.207411,-58.9651,2024-08-01T00:40:47.164Z,0.00017105,49658.02787,2022-05-26T14:42:59.316Z,,2025-09-03T15:06:57.032Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.53,2113231762,64,2113231762,87259608.0,4.52,4.36,0.107407,2.42885,54764076.0,2.66043,466673659.530552,466677020.449089,,44.45,-89.8314,2022-01-17T00:34:41.497Z,1.16,289.61334,2020-03-13T02:27:44.591Z,"{'times': 44.29517032956623, 'currency': 'usd', 'percentage': 4429.517032956623}",2025-09-03T15:06:58.659Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02412434,2074093075,65,2074093075,34319657.0,0.02417123,0.02343963,0.00038218,1.60969,28405747.0,1.38857,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.40657,2021-04-19T01:08:21.675Z,0.00191713,1159.52442,2020-03-13T02:29:59.652Z,"{'times': 0.8916313609797664, 'currency': 'eth', 'percentage': 89.16313609797663}",2025-09-03T15:06:49.498Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.235955,2060084821,66,2060084821,70292449.0,0.236506,0.22768,0.00345938,1.48793,28765997.0,1.41612,8732460769.590849,8732460769.590849,10000000000.0,3.56,-93.3775,2019-06-20T14:51:19.480Z,0.087513,169.48697,2023-09-11T19:42:08.247Z,"{'times': -0.9016853775534752, 'currency': 'usd', 'percentage': -90.16853775534751}",2025-09-03T15:06:59.983Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,5085.71,2046140255,67,2046140255,9423452.0,5097.98,4857.06,157.0,3.18534,56887409.0,2.85974,402022.2796809882,402022.2796809882,,5618.08,-9.40644,2025-08-24T19:25:20.811Z,887.26,473.63125,2022-06-18T20:55:45.957Z,,2025-09-03T15:07:02.547Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.064,2024079135,68,2024079135,72648664.0,1.073,1.061,-0.004145276894532035,-0.3882,30401242.0,1.52488,1901386263.146648,1902742119.897963,,1.088,-1.9303,2025-02-03T02:31:35.208Z,0.961716,10.9386,2025-01-04T01:21:08.460Z,,2025-09-03T15:06:48.456Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,16.94,2022763041,69,5080409244,5417809.0,17.0,16.71,0.164628,0.98165,19604988.0,0.9787,119444887.81900902,300000000.0,,25.94,-34.73456,2025-01-25T03:07:37.823Z,0.25754,6473.52769,2020-03-13T02:18:02.481Z,,2025-09-03T15:07:02.772Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,5.51,2019848137,70,2019848137,86141396.0,5.52,5.37,0.088764,1.63695,56155963.0,2.85971,366468288.11326,367196820.317384,,5.57,-1.04021,2025-08-29T04:47:57.438Z,0.146839,3653.28084,2023-11-24T05:55:06.706Z,,2025-09-03T15:06:56.575Z
pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.03117177,1959954672,71,2481889420,402553145.0,0.0312212,0.02904789,0.0015936,5.38777,88915868.0,4.75222,62860396090.0,79600081664.22478,88888888888.0,0.068447,-54.66914,2024-12-17T13:05:22.873Z,0.00371517,735.15662,2025-04-09T01:31:57.832Z,,2025-09-03T15:07:02.035Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.51,1948482968,72,3928854875,58276025.0,4.52,4.5,0.00496785,0.11027,482052.0,0.02475,431837485.0,870742437.0,1000000000.0,4.61,-2.10966,2025-07-27T09:55:16.106Z,0.398142,1032.80918,2023-01-21T10:15:39.503Z,,2025-09-03T15:07:00.391Z
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,15.1,1923672912,73,2150236953,6447725.0,15.12,14.81,0.232119,1.56155,27278299.0,1.43843,127359547.7355671,142359547.7355671,,28.83,-47.60977,2021-12-01T15:09:35.541Z,0.342863,4305.27042,2019-02-07T00:00:00.000Z,,2025-09-03T15:06:57.054Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,4686.89,1879741786,74,1879741786,10210332.0,4697.52,4485.39,112.95,2.46942,55963635.0,3.06855,401111.525738891,401111.525738891,,5190.42,-9.73504,2025-08-24T19:13:49.359Z,1029.61,355.04027,2025-09-02T07:53:14.684Z,,2025-09-03T15:06:56.890Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.51,1821797045,75,1873649798,55109235.0,3.51,3.37,0.08181,2.38429,45246379.0,2.54687,518584616.1640741,533344789.4440741,644245094.0,13.53,-74.06158,2024-03-17T16:30:24.636Z,0.03665669,9477.20286,2020-06-16T13:22:25.900Z,,2025-09-03T15:06:47.315Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.901639,1799884109,76,9005859476,102815851.0,0.90178,0.862344,0.02585166,2.95182,49347985.0,2.81902,1998570057.853199,10000000000.0,10000000000.0,11.74,-92.32768,2024-03-10T00:10:42.330Z,0.583741,54.31116,2025-04-07T07:06:11.379Z,,2025-09-03T15:06:49.815Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.293992,1766290555,77,2940550314,141512227.0,0.294264,0.279926,0.00846587,2.96501,51404644.0,2.99755,6006666666.0,10000000000.0,,1.14,-74.2232,2024-03-16T02:30:23.904Z,0.095364,208.06548,2023-10-19T08:05:30.655Z,,2025-09-03T15:06:47.840Z
bfusd,bfusd,BFUSD,https://coin-images.coingecko.com/coins/images/68227/large/bfusd.png?1755132827,0.999429,1698888444,78,1698888444,6088668.0,0.999556,0.999081,-7.7358878573963e-05,-0.00774,-229201.4327235222,-0.01349,1700000100.0,1700000100.0,,1.0,-0.08713,2025-08-16T06:23:06.565Z,0.998554,0.07526,2025-08-21T20:27:41.005Z,,2025-09-03T15:06:55.321Z
kinetic-staked-hype,khype,Kinetiq Staked HYPE,https://coin-images.coingecko.com/coins/images/67388/large/khype.png?1752632397,46.1,1690017392,79,1696523886,65786133.0,46.25,43.87,1.44,3.22412,54021335.0,3.30205,36710322.40087974,36851655.54107456,,51.18,-10.08956,2025-08-27T05:26:22.278Z,35.62,29.173,2025-08-02T18:59:35.641Z,,2025-09-03T15:06:58.941Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,8.45,1687733988,80,8438671077,276250561.0,8.44,8.3,0.068996,0.82328,13629917.0,0.81416,199999973.092266,1000000000.0,1000000000.0,73.43,-88.50737,2025-01-19T11:50:34.806Z,4.29,96.6849,2025-01-18T03:40:29.231Z,,2025-09-03T15:07:01.194Z
stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,4693.39,1685821853,81,1685821853,928212.0,4706.61,4487.27,115.86,2.53095,45758109.0,2.79002,358880.6839472,358880.6839472,,5206.8,-9.88262,2025-08-24T19:14:00.394Z,1459.73,221.44555,2025-04-09T01:32:44.161Z,,2025-09-03T15:06:51.115Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.071971,1683951359,82,1687988163,6296917.0,0.076161,0.069955,-0.002579153519426308,-3.45962,-61110014.728074074,-3.50188,23406554460.75213,23462665147.36596,,0.100535,-28.19356,2024-12-04T10:13:57.264Z,0.03582727,101.49669,2025-02-03T05:01:48.626Z,,2025-09-03T15:06:47.815Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.62632,1631060773,83,1699644523,60650951.0,0.627298,0.595985,0.02278656,3.77553,54018058.0,3.42528,2604959126.672,2714493896.672,2714493896.672,3.45,-81.86973,2024-03-28T17:21:18.050Z,0.00816959,7565.57847,2020-03-13T02:24:18.347Z,"{'times': 6.223985237817354, 'currency': 'usd', 'percentage': 622.3985237817354}",2025-09-03T15:07:00.415Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,0.969509,1626907236,84,5123187409,38385604.0,1.098,0.800539,0.107133,12.42301,150162024.0,10.16844,1675170683.270124,5275170682.8294,10000000000.0,1.098,-10.0549,2025-09-03T11:30:43.475Z,0.04746135,1980.96598,2025-07-04T03:56:17.448Z,,2025-09-03T15:06:57.666Z
liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,4819.94,1609312356,85,1609312356,1269791.0,4834.86,4610.69,121.85,2.59351,41665825.0,2.65786,333631.1646309939,333631.1646309939,,5334.09,-9.66207,2025-08-24T19:17:38.271Z,1384.61,248.01985,2023-03-10T11:26:12.210Z,,2025-09-03T15:06:57.287Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,2.071e-05,1601238303,86,1819972219,223444368.0,2.069e-05,1.993e-05,3.32614e-07,1.63194,19519110.0,1.23404,77419592329436.58,87995338946636.84,87995338946636.84,5.825e-05,-64.46515,2024-11-20T04:01:06.465Z,8.6142e-08,23928.92688,2022-12-29T22:48:46.755Z,,2025-09-03T15:06:56.231Z
